keywords,year,_objectid,_accessionnum,_title,_displaydate,_medium,_dimensions,_inscription,_markings,_artist,_provenance,_creditline,_classification,_watermarks,_imagelink,_uuid,id
Vegetables,2023,226411,2023.3.2,"Still Life with Apples, Pears, Cucumbers, Figs, and a Melon",c. 1625 - 1630,oil on panel,overall: 35.3 × 59.1 cm (13 7/8 × 23 1/4 in.),,,Fede Galizia,"Possibly Cardinal Cesare Monti [1594 –1650], Milan;[1] Possibly by descent to his cousin Giulio Monti [c.1604 -1686], Count of Valsassina, Milan, in 1650; Possibly Count Cesare Monti Melzi [d. 1741], Palazzo Monti (later known as Palazzo Sormani-Andreani and Verri), Milan; Possibly by descent to his family.[2] Infante Don Sebastián Gabriel Borbón y Braganza [1811 –1875], Pau.[3] Calini family Brescia, since c.1900; acquired December 2020 by (P. & D. Colnaghi & Co., Ltd, London); Purchased 2022 by NGA.


[1] Provenance adapted from Colnaghi catalogue entry; copy in NGA curatorial records.

[2] This is suggested by a note in an inventory conducted the year after the Count’s death.

[3] Crowned SG cyphers on the reverse of the painting attest to the Infante’s ownership.

","Gift of Funds from Roger Sant, Patrons’ Permanent Fund, and Gift of Funds from Deborah Burkland",Painting,,https://api.nga.gov/iiif/92f2f8c5-9fad-4664-bb1d-8cfe4e496079/full/full/0/default.jpg,92f2f8c5-9fad-4664-bb1d-8cfe4e496079,92f2f8c5-9fad-4664-bb1d-8cfe4e496079
#N/A,2023,226409,2023.3.1,The Annunciation,1677,gouache on vellum in a frame of metal and blue glass,"sheet: 13.4 × 18.1 cm (5 1/4 × 7 1/8 in.)
framed: 22.5 × 27.8 cm (8 7/8 × 10 15/16 in.) (not including hanger at top of frame)",lower center on gold framing line in black ink: CATERINA  ANGELA PIEROZZI FIORENTINA FACEVA 1677,,Caterina Angela Pierozzi,"Private Collection, Paris; (sale, Millon & Associés, Paris, 8 December 2020, no. 24); (Will Elliott, Elliott Fine Art); Private collection, UK; (Colnaghi, London, on consignment from U.K. private collection); purchased 2023 by NGA.","Gift of Funds from Roger Sant, Patrons’ Permanent Fund, and Gift of Funds from Deborah Burkland",Drawing,,https://api.nga.gov/iiif/acc982bc-99e8-4af2-9c1d-1fc9dffd262d/full/full/0/default.jpg,acc982bc-99e8-4af2-9c1d-1fc9dffd262d,acc982bc-99e8-4af2-9c1d-1fc9dffd262d
glazed,2023,226227,2023.2.1,Storage Jar,1859,alkaline-glazed stoneware,"overall (height by widest diameter): 55 × 49 cm (21 5/8 × 19 5/16 in.)
diameter (mouth): 36 cm (14 3/16 in.)
diameter (foot): 31 cm (12 3/16 in.)","Inscribed on exterior: I made this out of number, & cross [two short vertical strokes]  / if you do not lisen at the bible you’ll be lost-- 
Inscribed on exterior, opposite shoulder:  L.m. march 25th 1859 / Dave / [inscribed more lightly below full date] 1859",,David Drake,"Mrs. Little Berry Stovall (born Mary Lou Harwell) (1871-1963), Apalachee, GA, and Madison, GA; [1] probably by descent to her son Hampton Harwell Stovall (1903-1981), Moore County, NC; by descent to his son Hampton Harwell Stovall, Jr., Southern Pines, NC; by gift to the Madison-Morgan Cultural Center, Madison, GA, in 1992; purchased 2023 by NGA.

[1] Provenance based on letter dated November 11, 1991, from Mrs. H. Harwell (Wilda Ortkiese) Stovall, Jr., to the Madison-Morgan Cultural Center, copy in NGA curatorial file.
",Anonymous Gift of Funds,Decorative Art,,https://api.nga.gov/iiif/082ca481-f1fb-4945-90b4-8b4267b3d5ec/full/full/0/default.jpg,082ca481-f1fb-4945-90b4-8b4267b3d5ec,082ca481-f1fb-4945-90b4-8b4267b3d5ec
Flag,2023,224611,2023.1.1,Boy with Flag,"1970, printed 2022",gelatin silver print,"image: 45.4 × 30.2 cm (17 7/8 × 11 7/8 in.)
sheet: 50.2 × 40 cm (19 3/4 × 15 3/4 in.)",,,Vanley Burke,"Vanley Burke, UK; NGA purchase, 2023.",Alfred H. Moses and Fern M. Schad Fund,Photograph,,https://api.nga.gov/iiif/759f5516-ebaa-4d13-a59c-47afcfebf44c/full/full/0/default.jpg,759f5516-ebaa-4d13-a59c-47afcfebf44c,759f5516-ebaa-4d13-a59c-47afcfebf44c
#N/A,2022,224468,2022.99.1,Cupid and Psyche,1800,watercolor and gouache over black chalk and graphite on laid paper,overall: 38.7 × 29.4 cm (15 1/4 × 11 9/16 in.),lower right in black ink: Santino Tagliafichi inv. f. 1800,,Santino Tagliafichi,"Private collection, Milan; (Cortona Fine Art, Milan); purchased 2022 by NGA.",William B. O'Neal Fund,Drawing,"fleur de lys inside a crown and shield, above inscription NO [not deciphered]",https://api.nga.gov/iiif/4ffee4a0-1e73-4dbf-9d23-92d8bc0e234a/full/full/0/default.jpg,4ffee4a0-1e73-4dbf-9d23-92d8bc0e234a,4ffee4a0-1e73-4dbf-9d23-92d8bc0e234a
#N/A,2022,224508,2022.98.1,La Divina Commedia,1757-1758,large quarto volume with 228 etched illustrations,,,,"Dante Alighieri (author), with etchings by Giuliano Giampiccoli, Giuseppe Magnini, and Various Artists, after Francesco Fontebasso, Gaspero Ticiani, and Various Artists","Josephus Marchio Trivisanus, 1770. (Libreria Antiquaria Mediolanum S.R.L., Milan); purchased 2022 by NGA.",William B. O'Neal Fund,Volume,,https://api.nga.gov/iiif/16c15fd4-4440-438a-b5c6-fa00d71f229c/full/full/0/default.jpg,16c15fd4-4440-438a-b5c6-fa00d71f229c,16c15fd4-4440-438a-b5c6-fa00d71f229c
#N/A,2022,224408,2022.97.7,The Nightingale's Song,1914,lithograph on wove paper,sheet: 48.5 × 39.5 cm (19 1/8 × 15 9/16 in.),,,Giovanni Guerrini,"(Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Ruth and Jacob Kainen Memorial Acquisition Fund,Print,,https://api.nga.gov/iiif/ec49424c-55db-4c49-89be-c431a714808b/full/full/0/default.jpg,ec49424c-55db-4c49-89be-c431a714808b,ec49424c-55db-4c49-89be-c431a714808b
#N/A,2022,224407,2022.97.6,Lilibelà-Biet Mariam,1941,etching and drypoint,sheet: 35 × 57.3 cm (13 3/4 × 22 9/16 in.),,,Lino Bianchi Barriviera,"(Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Ruth and Jacob Kainen Memorial Acquisition Fund,Print,,https://api.nga.gov/iiif/d0ab4a8d-395d-4b09-ab2c-4fa1b2f6166b/full/full/0/default.jpg,d0ab4a8d-395d-4b09-ab2c-4fa1b2f6166b,d0ab4a8d-395d-4b09-ab2c-4fa1b2f6166b
#N/A,2022,224406,2022.97.5,Two Donkeys and a Peasant in the Sun (Due somari e un contadino al sole),1914,etching on wove paper,"plate: 35.24 × 25.4 cm (13 7/8 × 10 in.)
sheet: 49.21 × 37.47 cm (19 3/8 × 14 3/4 in.)",lower right in black pencil: Arturo Checchi; lower right in plate: A C 1914; upper left verso on a pasted label: [stamped in black ink] ARCHIVIO / N. [written in blue ink] 647 267 / [stamped in black ink] SANDRO ANGELINI,,Arturo Checchi,"(Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Ruth and Jacob Kainen Memorial Acquisition Fund,Print,,https://api.nga.gov/iiif/fae9efa1-3c3e-4d26-bff7-8e36d8331dd3/full/full/0/default.jpg,fae9efa1-3c3e-4d26-bff7-8e36d8331dd3,fae9efa1-3c3e-4d26-bff7-8e36d8331dd3
#N/A,2022,224405,2022.97.3,Piazza Navona,1915/1920,etching and aquatint on wove paper,sheet: 38.5 × 48.6 cm (15 3/16 × 19 1/8 in.),lower left in graphite: Piazza Navona--Aquaforte; lower right in graphite: G Graziosi; by later hand(?) lower right in pen and ink: [partially legible calculations],,Giuseppe Graziosi,"(Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from Friends and Colleagues in honor of D. Dodge Thompson,Print,,https://api.nga.gov/iiif/581eef9e-b5a7-4e48-875a-afdefb92ea3a/full/full/0/default.jpg,581eef9e-b5a7-4e48-875a-afdefb92ea3a,581eef9e-b5a7-4e48-875a-afdefb92ea3a
#N/A,2022,224396,2022.97.2,Mendicant Family of a Fallen Hero (Scena simbolica--Gruppo di famiglia dell'eroe caduto con elmetto),c. 1920,etching on tan wove paper,"plate: 35.56 × 28.26 cm (14 × 11 1/8 in.)
sheet: 52.71 × 33.97 cm (20 3/4 × 13 3/8 in.)",lower right in graphite: Bazzaro; upper left in plate: E Bazzaro; upper left verso on a pasted label: [stamped in black ink] ARCHIVIO / N. [written in blue ink] 647 278 / [stamped in black ink] SANDRO ANGELINI,,Ernesto Bazzaro,"(Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased by NGA, 2022.",Ailsa Mellon Bruce Fund,Print,,https://api.nga.gov/iiif/05acba8f-04ad-4708-b45f-a93c3cd08dde/full/full/0/default.jpg,05acba8f-04ad-4708-b45f-a93c3cd08dde,05acba8f-04ad-4708-b45f-a93c3cd08dde
